,Type,i,Proposed ID,Tracefinder ID,Lipid Class,m/z,RT [min],Area (Max.),Score,Adduct,Polarity,1076_10_FBG,1062_8_FBG,1093_9_FBG,1060_8_RBG,1091_10_FBG,1092_9_RBG,1093_10_RBG,1082_10_FBG,1060_9_RBG,1101_9_FBG,1062_10_RBG,1091_8_RBG,1074_10_FBG,1101_10_RBG,1076_9_FBG,1092_9_FBG,1074_8_FBG,1091_10_RBG,1082_9_FBG,1076_8_RBG,1060_8_FBG,1093_9_RBG,1060_10_FBG,1082_10_RBG,1074_9_RBG,1091_9_RBG,1101_10_FBG,1093_8_FBG,1074_8_RBG,1102_10_RBG,1062_9_FBG,1076_9_RBG,1092_8_FBG,1062_10_FBG,1102_8_RBG,1074_10_RBG,1060_9_FBG,1082_9_RBG,1076_10_RBG,1091_9_FBG,1102_9_FBG,1102_9_RBG,1093_10_FBG,1101_8_FBG,1102_8_FBG,1082_8_FBG,1060_10_RBG,1076_8_FBG,1101_9_RBG,1091_8_FBG,1092_10_FBG,1082_8_RBG,1062_8_RBG,1102_10_FBG,1093_8_RBG,1074_9_FBG,1062_9_RBG,1101_8_RBG,1092_8_RBG,1092_10_RBG
16.616_141.016_unknown,metabolite,m_0,unknown,,,141.01586,16.616,31.253940559953442,,[M-H]-1,-,29.16379500138323,30.57248896618681,29.753802066386445,30.61013371450237,30.7008925203911,30.57791388703127,30.656928586037694,30.60433611209448,30.996475145422718,30.672859262283378,30.65386965211576,30.672322532306598,30.63270798958691,30.75978360128422,30.988975852454548,30.60147225407461,30.73028074745968,30.415063031086692,30.75826437240803,30.69187881388695,30.560701789361108,30.64418714704079,29.787912851232342,30.683638928643497,30.580170048650142,30.63400454588897,30.648334097882227,30.672096571478797,30.490011617405646,30.458962864362604,30.573387629235196,30.64544375460597,30.734501133121757,30.714782659521482,30.624452728993997,29.84123158217901,30.606110154287684,30.625206981815165,30.576996315085076,31.075634369267362,30.70474730946831,30.58557874237008,30.558239923084983,30.71736697307524,30.588007060374387,30.542862247384235,30.636810729200906,30.50846497675997,30.606863047657647,30.608200493387347,30.6827735644433,30.713014874741095,30.636650071158783,30.69912255264473,30.766149274185658,30.497880998063224,30.660279755349542,30.612707458948783,30.63169706353772,30.79492635997423
1.591_279.232_Linoleic Acid,metabolite,m_1,Linoleic Acid,,,279.23234,1.591,30.736789439049957,99.2,[M-H]-1,-,30.152273742279927,30.703657983588183,30.603358776182557,29.309066666775244,30.505310056197438,29.114748298829088,29.416944857808723,30.081203672418123,29.431175302311125,30.04482794290172,29.39986319748321,29.66471681965559,30.36685212575108,29.925683037904992,29.712771341716987,30.02680073566797,30.340203483717094,29.352338744860877,29.84994600844452,30.51950593003234,29.945500350235246,29.774822072959267,30.0966432020639,29.84473907363471,29.614008649642756,29.53911709676025,29.816130840068585,30.2004439848774,29.706219302460667,29.57394080467293,30.286799603196098,30.447279031677866,29.88861068090251,30.369291807221757,29.68955976070681,29.785282843576606,30.08262673767877,30.40546960524056,30.00240166431918,30.736789439049957,30.159519617048904,30.126518895627402,30.01203398708861,29.719109900386503,30.31428781603273,29.907599173541144,29.27048664227118,30.21032684622611,29.781464946808747,30.139447449180963,30.124328667319965,29.72405997001126,30.10921164917026,30.203473107567312,29.407518687551264,30.13029822950065,29.755386413675357,29.830916564429973,29.260528948142394,29.010637464233813
2.597_496.34_unknown,metabolite,m_2,unknown,,,496.33981,2.597,30.704673465050206,,[M+H]+1,+,29.735453691230436,29.56962109128866,30.04303240361494,29.82794612312978,29.420632520823897,29.48369282133951,29.886091403615183,29.609037673057248,30.018238617501616,29.62083945111751,29.65322826982792,29.774392574064624,29.660020670474125,29.755496929148283,29.9214618077135,29.533098308187416,30.02918616411881,29.68427083745658,29.571813941970742,30.044744180143308,29.528340842293982,29.942530591919457,29.253402134383055,29.771151866548532,29.807311161176184,29.652894080498243,29.693668068122584,29.581699673299475,29.75660396534559,29.673058159343586,29.86514999706348,30.04873352702164,29.320894669993297,29.327569675964664,29.931632787548555,29.895200961875393,29.599444389830364,29.82107705337583,30.05023467475749,30.704673465050206,30.09048887307047,29.75228135955611,29.745628219334343,29.74411987160636,29.73790962117369,29.64111603177875,29.673409445063054,29.815852734891653,29.637644630524147,29.10211572531945,29.57738967993119,29.910001632561166,30.189935236072078,29.74429820719654,29.968890070501104,29.847045921468286,29.784137314506303,29.933457474059082,29.70949509417614,29.59359730681821
1.568_281.248_trans-Petroselinic acid,metabolite,m_3,trans-Petroselinic acid,,,281.24793,1.568,30.641931064118292,100.0,[M-H]-1,-,29.70137024563944,30.641931064118292,30.624242200433034,28.459047191671278,30.63689677859006,28.588430617723777,28.685023828601608,30.257619367841436,28.625994696409688,29.974868332450427,28.549249414647687,28.84418980994816,30.58793872267367,28.991866514086666,29.499334626628514,29.949211401272674,29.601981204039703,28.424782663513668,29.98359063471433,29.93262723730322,29.839307827841093,29.12899679394481,30.252207666069875,28.9974260411207,28.75094731247053,29.072224098784062,29.634254473596393,30.126848800601994,28.803869757805217,28.952126699183587,30.180122733579857,29.904612877586125,29.98936127305689,30.15110730415409,28.97882599954922,28.863674120650167,30.235353142235986,29.789927508194346,29.319623289536008,30.385210765736232,29.8693041039588,29.589191672851904,29.842889851842486,29.726343610328,30.068836298704895,30.184742059062405,28.26549013836282,29.36434282762299,28.941815477384072,30.037028671750882,30.3156003941402,29.119539937259187,29.49276869436749,29.923218468033653,28.537791578214282,30.12904110675133,29.130425578779143,29.10452022036836,28.77987121906165,28.319688790948707
12.732_167.02_Uric acid,metabolite,m_4,Uric acid,,,167.02007,12.732,30.53354374640327,88.4,[M-H]-1,-,26.700628551993606,21.774699274824304,27.05166726926771,17.43124392853705,27.163433202141604,25.867137330544352,26.188411524664772,26.977695058276744,26.31293296065575,26.709747669804994,27.497490678992538,23.314629220274746,27.816762409914002,26.606978794130015,16.67449868000074,26.869224783445762,23.781929787781653,26.91256360628145,26.585272401669016,25.743135485023526,17.148994384787652,26.20137107952763,27.209157652525104,26.037809763656533,27.50347509790513,27.13148455005834,27.103362386166825,27.40571826955199,27.053598578409755,25.842126784557607,23.18969306247276,20.56502528620965,25.465602826723547,27.901314650943025,24.596730993349585,27.14886107093341,19.169209670798487,26.603439133659336,24.249346379127633,27.787452698442742,24.860989491496472,27.789178333646362,26.756463432837307,17.575513241927506,19.18045340721034,18.3488562898046,25.956117895109635,22.79561051989237,27.7297516586666,27.51851347770974,22.471184682856745,17.976799729636145,26.822242714179826,26.47145175381633,24.519749623550876,24.75563415237162,27.438914619375524,25.68432112358867,17.121551000522295,24.795886089590073
2.534_520.34_unknown,metabolite,m_5,unknown,,,520.33987,2.534,30.372826653774297,,[M+H]+1,+,28.721318570049565,27.427680885321468,28.906704356474204,29.295560728063673,28.470314042616522,29.644308614125443,29.792770038131433,28.204534452129387,30.211205806909962,28.57401072113654,29.910382671408108,29.47222345194384,28.82759120198355,29.888895314619827,27.615388367380476,28.680519213174684,28.989022368091643,29.678220138816297,28.39215275842051,29.701524589295268,27.075392622947668,29.80766866736871,28.37513547072194,29.70401140509387,29.73460543615663,29.766838342455433,28.48157785712357,28.293273162985063,29.594174951589192,29.747247374872863,28.241485679770292,29.481446587689007,28.222140063096287,28.733230614804228,30.066360702410766,30.039850466983783,27.794790317256012,29.939036871755654,29.998669861688228,30.372826653774297,28.69019186287381,30.118773983758604,28.518437539203294,26.92314582856396,28.120902396026832,26.77977887752185,29.741926729491723,27.927006394892423,30.012101402333244,27.46671538870073,28.355427830889838,29.368698177629827,30.156755205757648,28.965412268221687,29.56846962724998,28.391884003986796,30.05035668231721,29.9937846934709,29.552759926410403,29.63290709081638
1.62_255.232_unknown,metabolite,m_6,unknown,,,255.23236,1.62,30.34955106644311,,[M-H]-1,-,29.80301237687802,30.34955106644311,30.22847426329915,29.11344110241487,30.18847528022381,29.046819029631276,29.130352361719616,29.89121322428224,29.21293346411813,29.729036316549394,29.139509150654295,29.311466395908162,30.033770485423496,29.40136159057965,29.5660273785265,29.69522487872525,29.915394133825604,29.033621832600968,29.513550181198973,29.676637462892547,30.003016343961278,29.3011462152113,29.96832457510404,29.068536917393324,29.24609995471836,29.16586661073484,29.65093888257785,29.934323242175825,29.626779948993576,29.00769730035789,30.04742234429421,29.51093068768196,29.725935021223155,29.7879561821185,29.242583288216093,29.643495064082032,29.90826723156122,29.590774340292775,29.340098009849836,30.15676368244161,29.665046025791295,29.435396113270933,29.725418360891826,29.776837485216355,30.1795388468895,30.014745747390766,29.297766394506063,29.749172206273453,29.22306219216516,29.98177892853919,29.969549086139025,29.540253248345785,29.559986957557594,29.740983748670633,29.15730191460224,29.928159522406308,29.22348114584884,29.46796105116297,29.217990389388458,28.90203284818235
16.592_268.998_unknown,metabolite,m_7,unknown,,,268.99842,16.592,30.046144265500978,,[M+H]+1,+,29.04734959681929,28.81307952279521,29.137347554171562,28.84876244332475,28.97754430758465,28.993619559026413,29.043613082511442,28.981537541764506,29.41695553404626,29.04137899074027,29.04339937776266,29.012075370103897,28.97364825865009,29.20396274867791,29.420762054122537,29.128063536077686,28.922817782634596,28.81057639294551,29.133837657148728,29.013047260830177,28.924166329800418,29.0546377364467,29.158594493234034,29.15724273649835,29.009204604242115,29.050302585142354,29.024045213549716,29.06140647196237,28.9211917842698,28.88331201023613,28.776304019528848,29.011228857927374,29.191423213715826,29.133859207310028,29.09603047910825,29.01868903698337,28.987013836042138,28.971661650357117,28.949221169150228,29.752662882972185,29.02883953206149,29.043781304157037,29.028137747046816,29.15933955622156,28.93763455158629,28.882075007692592,28.951929908229626,28.75087554692448,29.033515221726407,28.955412616662407,29.07656531765477,29.166201756879776,29.064005217933943,29.018782223953203,29.114852181593434,28.799079651034244,29.04182864778082,28.963588875937322,28.962902488138067,29.226647110346523
2.337_524.371_unknown,metabolite,m_8,unknown,,,524.37116,2.337,29.96278565511822,,[M+H]+1,+,28.892165825720266,28.671018992957872,28.609728141561206,28.995708131558374,28.105805132494744,28.339876039973714,28.603652109083583,28.70431901743807,29.331185395167758,28.48807455808812,28.872885049004047,28.753237286830267,28.88075838294322,28.759119020977664,29.016118602047303,28.275065417106408,29.081725455080633,28.370444748081294,28.558227933110278,29.204708270285067,28.56251092038856,28.74329895594823,28.380032206209172,28.950727309576195,29.024310759512566,28.511491713736174,28.51392932940163,28.54113191859275,28.691380455756224,28.944814247264393,28.88670768372671,29.461142986375854,28.359681098608593,28.59011827620461,29.09080633686618,28.794297951465587,28.70542517008968,29.165713302785754,29.277498170218056,29.96278565511822,28.998769873924193,29.097844441703483,28.35582515458605,28.700800500895767,28.801987042785026,28.78794177868476,28.645279272192216,28.94409367695802,28.957712322563566,28.808009598971765,28.541233786438173,29.030682129373194,29.24769179513302,28.756487021036993,28.674075320928996,28.86956912459043,29.039165861231076,29.021682283972126,28.552437380948337,28.378984335616863
2.593_187.006_unknown,metabolite,m_9,unknown,,,187.00615,2.593,29.876322970613323,,[M-H]-1,-,27.170731911345527,26.901321022814813,26.578356332827216,22.512900907301397,26.14971947373114,22.618105237050205,22.39700423481749,27.005621812458795,22.829664234531233,26.715387817638938,22.72408577305046,21.88782412295013,25.823076586847876,22.074103410024083,27.421606167287575,26.478904930150076,22.09671271242455,21.930009903017474,27.145167715459145,22.266849056758264,27.506895822357396,22.576266421198934,27.560226004383992,22.50766533925378,23.106116696917347,21.836016703737805,27.187725999389937,25.575497514106498,22.27560453959029,22.257831764691076,26.090724497855387,22.24866661457684,26.148465237376143,27.221196576412495,22.65991030815433,22.466582974320993,27.900257021787972,22.77397795121258,23.14794044428982,26.766381101625335,26.71047169742125,21.678796476078883,26.13248363290639,26.677754849818857,26.99467358420073,27.200787618216875,22.77530211340744,27.488505223933096,22.33551867827916,25.344593078907266,26.512601679365122,22.275067452796172,23.578358465407696,27.041736646831094,22.105705131982333,26.61504581416608,22.698556953372133,21.6524015087233,21.460304407056967,21.918719224675517
